"dates","means","Low","High","Type","country"
2020-02-03,1.11815952066746,0.264251977955497,2.11681874723395,"Error 2","hongkong"
2020-02-03,1.34248422555524,0.378730465167914,2.41100949495194,"Error 1","hongkong"
2020-02-04,1.04212682207698,0.206703601351736,1.97280529512968,"Error 2","hongkong"
2020-02-04,1.05507989310591,0.254687868817372,1.98992646692273,"No misidentification","hongkong"
2020-02-04,1.28084353298681,0.382769119890382,2.31519147207092,"Error 1","hongkong"
2020-02-05,0.395131391066831,0.0103115886884394,0.948563726024385,"Error 1","hongkong"
2020-02-05,0.401410401390792,0.00850253530346825,0.956394043404838,"No misidentification","hongkong"
2020-02-05,0.404855513864936,0.00975567180749259,0.957980303486914,"Error 2","hongkong"
2020-02-06,0.1940565808622,0.000331395456677014,0.585652823878877,"Error 1","hongkong"
2020-02-06,0.198757507337096,1.26096031596964e-09,0.59542430456009,"No misidentification","hongkong"
2020-02-06,0.206946477006173,0.000146853274366442,0.594362825157819,"Error 2","hongkong"
2020-02-07,0.637070304566095,0.0666522352847851,1.34882671464764,"Error 1","hongkong"
2020-02-07,0.644305144888872,0.0651823143081308,1.37478009022067,"No misidentification","hongkong"
2020-02-07,0.654299281171615,0.0778559206968756,1.42075887213783,"Error 2","hongkong"
2020-02-08,1.90629620545572,0.714292079929829,3.214627547739,"Error 1","hongkong"
2020-02-08,1.91235944904492,0.739442412905923,3.29661337198917,"Error 2","hongkong"
2020-02-08,1.91280454802428,0.711052554944772,3.25930544789809,"No misidentification","hongkong"
2020-02-09,0.244983199633574,1.55422603631913e-09,0.73390410870534,"No misidentification","hongkong"
2020-02-09,0.249498877982437,8.00130459120973e-05,0.76592321310768,"Error 1","hongkong"
2020-02-09,0.249856177305847,0.00025347069512642,0.771270089202526,"Error 2","hongkong"
2020-02-10,0.702078869791953,0.0815822369386241,1.47582377788589,"Error 1","hongkong"
2020-02-10,0.710483545415763,0.0718773974473691,1.5159876583695,"No misidentification","hongkong"
2020-02-10,0.718765840718485,0.0661593931595784,1.53445841589293,"Error 2","hongkong"
2020-02-11,0.49635188655979,0.0238486804736451,1.22239199892219,"Error 1","hongkong"
2020-02-11,0.500493895102718,0.0195721113613159,1.18556722345042,"Error 2","hongkong"
2020-02-11,0.50468984312266,0.0106901644672659,1.20246600002975,"No misidentification","hongkong"
2020-02-12,1.86783731791797,0.658655735760968,3.21075818313518,"Error 2","hongkong"
2020-02-12,1.88208733341886,0.631906112909271,3.29697260398433,"No misidentification","hongkong"
2020-02-12,2.13619450568979,0.752455246864754,3.63489897824219,"Error 1","hongkong"
2020-02-13,1.06083494931617,0.195984391162238,2.09586087004185,"Error 1","hongkong"
2020-02-13,1.07125096690247,0.165335432613733,2.07902235734474,"Error 2","hongkong"
2020-02-13,1.08922042547368,0.194017607040121,2.16436162083303,"No misidentification","hongkong"
2020-02-14,0.496774387457129,0.0024499155550073,1.18668732876435,"Error 1","hongkong"
2020-02-14,0.499731615687704,0.0105851410187878,1.1906526061341,"No misidentification","hongkong"
2020-02-14,0.500891699449463,0.00448703647702775,1.20215092464207,"Error 2","hongkong"
2020-02-15,0.244508821589239,7.75522417584065e-05,0.730376387452447,"Error 2","hongkong"
2020-02-15,0.248194295002066,1.57459791502052e-09,0.743523691141629,"No misidentification","hongkong"
2020-02-15,0.260663532273921,8.41633119466195e-05,0.780343611148135,"Error 1","hongkong"
2020-02-16,0.524594988913144,0.00662367320905949,1.24006377018972,"Error 2","hongkong"
2020-02-16,0.526360671507716,0.0111491884037667,1.2540985713595,"No misidentification","hongkong"
2020-02-16,0.541110578683386,0.0225309831427469,1.27751834220717,"Error 1","hongkong"
2020-02-17,0.563369284450363,0.00476917800950766,1.35444079481905,"Error 1","hongkong"
2020-02-17,0.56945596640554,0.0120620179293828,1.3567767361411,"No misidentification","hongkong"
2020-02-17,0.57901458644684,0.0180471083094976,1.35360391292025,"Error 2","hongkong"
2020-02-18,0.916005327835623,0.0926693627402588,1.95451782006473,"No misidentification","hongkong"
2020-02-18,0.922567463839632,0.119023231932175,1.92642007982168,"Error 2","hongkong"
2020-02-18,0.923485226690398,0.0946543501710952,2.04864169046973,"Error 1","hongkong"
2020-02-19,0.633378143475868,0.0134159952201169,1.50907669942119,"No misidentification","hongkong"
2020-02-19,0.644378286003834,0.0206990571718555,1.53524531301913,"Error 2","hongkong"
2020-02-19,0.648541884239036,0.0232732394881124,1.5488781866555,"Error 1","hongkong"
2020-02-20,0.9697983050796,0.0981114281577398,2.06929808325584,"No misidentification","hongkong"
2020-02-20,0.976247623662289,0.0701302772943213,2.05480659126209,"Error 2","hongkong"
2020-02-20,1.2980258379964,0.214480679219445,2.53626072300549,"Error 1","hongkong"
2020-02-21,0.323005871613508,2.04921862518146e-09,0.967639155124397,"No misidentification","hongkong"
2020-02-21,0.331593167413951,0.000108027928062582,1.02255418833972,"Error 2","hongkong"
2020-02-21,0.332917340992774,2.33203397791149e-06,1.01445387911189,"Error 1","hongkong"
2020-02-22,0.320995821613288,5.75810271484511e-06,0.990764985236384,"Error 2","hongkong"
2020-02-22,0.324701394128122,2.05997538418094e-09,0.972718486857099,"No misidentification","hongkong"
2020-02-22,0.325790847672764,1.52807400645716e-05,0.965672101617435,"Error 1","hongkong"
2020-02-23,0.707555713688436,0.0149871986748288,1.68581099942863,"No misidentification","hongkong"
2020-02-23,0.729646219929537,0.0247602910867992,1.72548879355885,"Error 2","hongkong"
2020-02-23,0.736996567079421,0.0144423583344308,1.80520854671792,"Error 1","hongkong"
2020-02-24,0.383339606408654,2.27146300511571e-05,1.13797593624787,"Error 2","hongkong"
2020-02-24,0.38395161132234,2.43587148790787e-09,1.15021628223882,"No misidentification","hongkong"
2020-02-24,0.396235195352675,6.23520856321835e-05,1.18929703996708,"Error 1","hongkong"
2020-02-25,1.46675819439627,0.312544263330837,2.89815409194441,"Error 1","hongkong"
2020-02-25,1.49990673365715,0.293841525194782,2.88826447745185,"Error 2","hongkong"
2020-02-25,1.50747616295301,0.268519494279743,2.99546673484244,"No misidentification","hongkong"
2020-02-26,0.334407652970518,7.12408184569968e-05,1.00454087953821,"Error 2","hongkong"
2020-02-26,0.335742051175375,0.000407042678939096,0.984194850274177,"Error 1","hongkong"
2020-02-26,0.344569554332496,2.18602325982949e-09,1.03223817811844,"No misidentification","hongkong"
2020-02-27,0.310447711090483,6.80518611443637e-05,0.918601834712822,"Error 1","hongkong"
2020-02-27,0.332553897689905,1.91416013253787e-06,1.04052444873626,"Error 2","hongkong"
2020-02-27,0.334150679988843,2.11992368321255e-09,1.00102601867106,"No misidentification","hongkong"
2020-02-28,0.713505166072413,0.0231215787703071,1.7094289072572,"Error 2","hongkong"
2020-02-28,1.07553704931173,0.108808718319548,2.29491717774076,"No misidentification","hongkong"
2020-02-28,1.46851659256603,0.289029417652793,2.90207104424073,"Error 1","hongkong"
2020-02-29,0.748309892846312,0.0158504395050116,1.78291125905441,"No misidentification","hongkong"
2020-02-29,0.749237220899818,0.0163599959664813,1.80851771839363,"Error 1","hongkong"
2020-02-29,0.749875304247564,0.0205176259052305,1.80540516912963,"Error 2","hongkong"
2020-03-01,0.34487821252825,0.000159708655080526,1.07472206586724,"Error 2","hongkong"
2020-03-01,0.353516878471953,8.27901570525924e-05,1.03954303943911,"Error 1","hongkong"
2020-03-01,0.358755562085387,2.27602233990497e-09,1.07473566117665,"No misidentification","hongkong"
2020-03-02,0.369394898268303,0.000145176654056223,1.10848962503656,"Error 2","hongkong"
2020-03-02,0.732457881709916,0.0155146677247059,1.74514250922855,"No misidentification","hongkong"
2020-03-02,0.733825116719324,0.0244913990042375,1.72154782548238,"Error 1","hongkong"
2020-03-03,0.363615660073329,4.27520937989617e-05,1.13377431915411,"Error 2","hongkong"
2020-03-03,0.728610617214578,0.0154331763065146,1.73597607797842,"No misidentification","hongkong"
2020-03-03,0.7398092269161,0.0356676373224916,1.78770475741083,"Error 1","hongkong"
2020-03-04,1.98800643609615,0.682140938254736,3.77914481259918,"Error 1","hongkong"
2020-03-04,1.98912157131164,0.58283895394791,3.60178492542981,"No misidentification","hongkong"
2020-03-04,2.03289364973862,0.610970922565355,3.79334560705346,"Error 2","hongkong"
2020-03-05,0.281230915665155,8.4704986907741e-05,0.848864820103488,"Error 1","hongkong"
2020-03-05,0.295632739879791,1.87555759822219e-09,0.885636577488236,"No misidentification","hongkong"
2020-03-05,0.29595617264605,0.000161124542372052,0.902788777470005,"Error 2","hongkong"
2020-03-06,0.821379231628358,0.114432567015684,1.73892656027114,"Error 2","hongkong"
2020-03-06,1.09357015572369,0.194792403615736,2.17300485685331,"No misidentification","hongkong"
2020-03-06,1.34453404357273,0.319541346304121,2.48330772993274,"Error 1","hongkong"
2020-03-07,0.290595225091438,8.02590890924826e-06,0.871472446235749,"Error 2","hongkong"
2020-03-07,0.531617923232224,0.0112605456799938,1.26662441577494,"No misidentification","hongkong"
2020-03-07,0.54149839698923,0.0144960236945926,1.31747929355507,"Error 1","hongkong"
2020-03-08,0.233858150416737,0.000222057952847854,0.694084736021546,"Error 2","hongkong"
2020-03-08,0.9461297391493,0.168529549801487,1.88002983404705,"No misidentification","hongkong"
2020-03-08,1.19669921464738,0.316954091148853,2.25947017310601,"Error 1","hongkong"
2020-03-09,0.205550022175497,2.77380227762802e-05,0.597819255460883,"Error 2","hongkong"
2020-03-09,0.413761619739682,0.00689099386033357,0.980507881233016,"Error 1","hongkong"
